CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
1857-9;N/D;CINTA DOBLE FACE MASSA ACR 12MM X 3MTS NORTON;S;48;
384-1;N/D;CINTA DOBLE FACE MASSA ACR 12MMX2MTS(19129);S;23;
1867-8;N/D;CINTA DOBLE FACE MASSA ACR 24MMX2MTS(19487);S;38;
2115-9;N/D;CINTA METRICA 25MM X 10MTS TL41574;S;;
2117-3;N/D;CINTA METRICA 25MM X 3MTS TL41570;S;;
2116-6;N/D;CINTA METRICA 25MM X 5MTS TL41572;S;;
2029-9;N/D;CINTA METRICA 25MM X 7.5MTS TL41573;S;7;
399-5;N/D;CINTA SCAR ESCRITA FRAGIL 40MTS;S;9;
401-5;N/D;CINTA SCAR FINO 11X50;S;9;
402-2;N/D;CINTA TEFLON 12X10M;S;26;
403-9;N/D;CINTA TEFLON 12X10M VIQUA;S;1;
404-6;N/D;CINTA TEFLON 12X25MT VIQUA;S;56;
405-3;N/D;"CLAVO C/CABEZA 12X12 (1""X15) 1KG MITTAL";S;22;
406-0;N/D;"CLAVO C/CABEZA 15 X21 (2""X13) 1KG GERDAL";S;2;
407-7;N/D;"CLAVO C/CABEZA 15X15 (1.1/4""X13) 1KG GERDAL";S;32;
408-4;N/D;CLAVO C/CABEZA 17X21 (2X11) 1KG GERDAL;S;;
409-1;N/D;"CLAVO C/CABEZA 17X27 (2.1/2""X11) 1KG GERDAL";S;35;
412-1;N/D;"CLAVO C/CABEZA 22X45 (4.1/4""X7) 1KG GERDAL";S;8;
2043-5;N/D;CLAVO GRAMPA 19X11 BELGO*;S;10;
1815-9;N/D;CLAVO GRAMPA 19X11 GERDAL;S;2;
413-8;N/D;CLAVO GRAMPA NACIONAL 19X11;S;14;
2003-9;N/D;"CLAVO NAC.BRAVON C/CAB. 17X21(2"")1KGX10";S;-1;
2004-6;N/D;CLAVO NAC.BRAVON C/CAB.17X27(2-1/2)1KGX10;S;119;
2005-3;N/D;"CLAVO NAC.BRAVON C/CAB.18X21(2"")1KGX10";S;;
2009-1;N/D;CLAVO NAC.BRAVON C/CAB.18X24(2-1/4) 1KGX10;S;;
2006-0;N/D;CLAVO NAC.BRAVON C/CAB.18X27(2-1/2) 1KGX10;S;183;
2007-7;N/D;CLAVO NAC.BRAVON C/CAB.18X30(2-3/4) 1KGX10;S;;
2008-4;N/D;"CLAVO NAC.BRAVON C/CAB.19X33(3"") 1KGX10";S;;
414-5;N/D;CLAVO NACIONAL 12X12 (1);S;40;
415-2;N/D;CLAVO NACIONAL 13X18 (1.1/2);S;9;
416-9;N/D;CLAVO NACIONAL 15X21 (2);S;28;
